Vereador;Partido;Aprovado;Ementa;Texto
Carlão do PT;PT;sim;DENOMINA PRAÇA IRACEMA COSTA UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;"Art. 1 Fica denominada Praça Iracema Costa a Praça 4 (Quarteirão 7.508, Código Cartográfico 3334.64.54.0001, com área de 2.370,00m 2) do loteamento Jardim Maracanã, situada na Rua Edson Luiz Rigonatto (Rua 13), ao lado da Quadra B, no mesmo loteamento.

Art. 2 Esta Lei entra em vigor na data de sua publicação."
Carlão do PT;PT;sim;DENOMINA CENTRO DE SAÚDE ACYLINO DE SOUZA SANTOS UM CENTRO DE SAÚDE DO MUNICÍPIO DE CAMPINAS.;"Art. 1 Fica denominado Centro de Saúde Acylino de Souza Santos o centro de saúde localizado no bairro Jardim São José.
Art. 2 Esta Lei entra em vigor na data de sua publicação."
Carlão do PT;PT;não;DISPÕE SOBRE O DESCONTO DE VINTE POR CENTO NO PAGAMENTO DO IMPOSTO PREDIAL E TERRITORIAL URBANO (IPTU), RELATIVO AOS IMÓVEIS ONDE HÁ PONTO DE ÔNIBUS DEFRONTE.;"Art. 1 Fica concedido desconto de vinte e cinco por cento no pagamento do Imposto Predial e Territorial Urbano (IPT U), relativo aos imóveis onde há ponto de ônibus, defronte a calçada.
S 1 — Serão beneficiados pelo desconto de que trata o ""caput"" deste artigo os imóveis onde há ponto de ônibus, defronte sua calçada.
S 2 — Estão incluídos do disposto do ""caput"" deste artigo tanto imóveis, comerciais como residenciais, que são prejudicados com a fixação do ponto de ônibus, defronte a sua calçada.
S 3 — No caso de mudança ou alteração do local de ponto de ônibus, o benefício será suspenso, contemplando-se os contribuintes com imóveis localizados no novo local, sempre observando o disposto nos SS 10 e 20 .
Art. 2 —A Prefeitura Municipal, independente de pedido do contribuinte, deverá proceder ao desconto à época do lançamento do imposto.
Art. 3 — Esta Lei entra em vigor na data da sua publicação."
Carlão do PT;PT;não;DISPÕE SOBRE A OBRIGATORIEDADE DAS EMPRESAS DE TRANSPORTE MUNICIPAL DE PASSAGEIROS NO MUNICÍPIO DE CAMPINAS INSCREVEREM, NAS DUAS LATERAIS E NA PARTE DIANTEIRA EXTERNA DOS VEÍCULOS, O ANO DE FABRICAÇÃO DO VEÍCULO, E DÁ OUTRAS PROVIDÊNCIAS.;ESTE   PROJETO DE LEI ORDINÁRIA PASSOU A TRAMITAR COMO PROJETO DE LEI COMPLEMENTAR N° 30/2020.
Carlão do PT;PT;não;ESTABELECE PRIORIDADE DE MATRÍCULA NOS ESTABELECIMENTOS DE ENSINO DA REDE PÚBLICA NO MUNICÍPIO DE CAMPINAS PARA MULHERES VÍTIMAS DE VIOLÊNCIA DOMÉSTICA E FAMILIAR, BEM COMO SEUS FILHOS E FILHAS.;"Art. 10 Fica assegurada a prioridade de matrícula nos estabelecimentos de ensino da rede pública municipal de mulheres em situação de violência doméstica e familiar, bem como seus (suas) filhos (as) e demais dependentes legais, nos termos da Lei Federal n o 11.340, de 7 de agosto de 2006, e que mudaram de domicílio, a fim de garantir-lhes condições de recomeço da vida social educacional.
SIO Para comprovação da condição abrangida por esta Lei e efetivação da matrícula ou transferência, deverão ser apresentados um dos seguintes documentos:
I	- termo de encaminhamento de unidade da rede municipal, estadual ou federal de proteção e atendimento às mulheres em situação de violência doméstica e familiar,
II	— termo de encaminhamento de Organização Não Governamental — ONG ligada à defesa e proteção dos direitos das mulheres,
III	- cópia do Boletim de Ocorrência que formalizou a denúncia de violência doméstica e familiar, emitido preferencialmente pela Delegacia Especializada de Atendimento à Mulher,
920 Havendo necessidade de mudança de endereço da mãe com o objetivo de garantir a segurança da família, fica assegurada a transferência da criança para outra unidade de ensino.
Art. 20 Art. 20 . Esta Lei entra em vigor na data da sua publicação, tornando-se revogadas todas as disposições existentes em contrário."
Carlão do PT;PT;sim;INSTITUI O PROGRAMA MUNICIPAL PARA A POPULAÇÃO IMIGRANTE E DISPÕE SOBRE SEUS OBJETIVOS, PRINCÍPIOS, DIRETRIZES E AÇÕES PRIORITÁRIAS.;"Art. 1º  Fica ins tuído o Programa Municipal para a População Imigrante, a ser implementado de forma transversal às polí cas e aos serviços públicos, com os seguintes obje vos:
I	- garantir ao imigrante o acesso a direitos sociais e aos serviços públicos;
II	- promover o respeito à diversidade e à interculturalidade;
III	- impedir violações de direitos;
IV	- fomentar a par cipação social e desenvolver ações coordenadas com a sociedade civil.
Parágrafo único.  Considera-se população imigrante, para os fins desta Lei, todas as pessoas que se transferem de seu lugar de residência habitual em outro país para o Brasil, compreendendo imigrantes laborais, estudantes, pessoas em situação de refúgio e apátridas, bem como suas famílias, independentemente de sua situação imigratória e documental.
Art. 2º  São princípios do Programa Municipal para a População Imigrante:
I	- igualdade de direitos e de oportunidades, observadas as necessidades específicas dosimigrantes;
II	- promoção da regularização da situação da população imigrante;
III	- universalidade, indivisibilidade e interdependência dos direitos humanos dos imigrantes;IV - combate à xenofobia, ao racismo, ao preconceito e a quaisquer formas de discriminação;
V - promoção de direitos sociais dos imigrantes, por meio do acesso universalizado aos serviços públicos, nos termos da legislação municipal; VI - fomento à convivência familiar e comunitária.
Art. 3º  São diretrizes da atuação do Poder Público na implementação do Programa Municipal para a População Imigrante:
I	- conferir isonomia no tratamento à população imigrante e às diferentes comunidades;
II	- priorizar os direitos e o bem-estar da criança e do adolescente imigrantes, nos termos doEstatuto da Criança e do Adolescente;
III	- respeitar especificidades de gênero, raça, etnia, orientação sexual, idade, religião edeficiência;
IV	- garan r acessibilidade aos serviços públicos, facilitando a iden ficação do imigrante pormeio dos documentos de que for portador;
V	- divulgar informações direcionadas à população imigrante sobre os serviços públicosmunicipais, com distribuição de materiais acessíveis;
VI	- monitorar a implementação do disposto nesta Lei, apresentando relatórios periódicossobre o seu cumprimento, respeitadas as hipóteses legais de sigilo;
VII	- estabelecer parcerias com órgãos e/ou en dades de outras esferas federa vas parapromover a inclusão dos imigrantes e dar celeridade à emissão de documentos;
VIII	- promover a par cipação de imigrantes nas instâncias de gestão par cipa va,garan ndo-lhes o direito de votarem e serem votados nos conselhos municipais;
IX	- apoiar grupos de imigrantes e organizações que desenvolvam ações voltadas a essepúblico, fortalecendo a ar culação entre eles;
X	- prevenir permanentemente e oficiar as autoridades competentes em relação a gravesviolações de direitos da população imigrante, em especial o tráfico de pessoas, o trabalho escravo e a xenofobia, além das agressões 	sicas e ameaças psicológicas durante o deslocamento.
Parágrafo único.  O Poder Público municipal deverá oferecer acesso a canal de denúncias para atendimento dos imigrantes em casos de discriminação e outras violações de direitos fundamentais ocorridas em serviços e equipamentos públicos.
Art. 4º  São ações prioritárias na implementação do Programa Municipal para a População Imigrante:
I	- garan r à população imigrante o direito à assistência social, assegurando o acesso aosmínimos sociais e ofertando serviços de acolhida ao imigrante em situação de vulnerabilidade social;
II	- garan r o acesso universal da população imigrante à saúde, observadas:
a)	as necessidades especiais relacionadas ao processo de deslocamento;
b)	as diferenças de perfis epidemiológicos;
III - promover o direito do imigrante ao trabalho decente, atendidas as seguintes orientações:
a)	igualdade de tratamento e de oportunidades em relação aos demais trabalhadores;
b)	inclusão da população imigrante no mercado formal de trabalho;
c)	fomento ao empreendedorismo;
IV	- garan r às crianças, aos adolescentes, aos jovens e às pessoas adultas imigrantes odireito à educação na rede de ensino público municipal, por meio do seu acesso, permanência e terminalidade;
V	- valorizar a diversidade cultural, garan ndo a par cipação da população imigrante naagenda cultural do município, observados:
a)	a abertura à ocupação cultural de espaços públicos;
b)	o incen vo à produção intercultural;
VI	- coordenar ações no sen do de dar acesso à população imigrante a programashabitacionais, promovendo o seu direito à moradia digna, seja provisória, de curto ou médio prazo, seja defini va;
VII	- incluir a população imigrante nos programas e nas ações de esportes, lazer e recreação,bem como garan r seu acesso aos equipamentos espor vos municipais.
Art. 5º  As despesas com a execução desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário.
Art. 6º  Esta Lei entra em vigor na data da sua publicação."
Carlão do PT;PT;não;DISPÕE SOBRE A CRIAÇÃO, ORGANIZAÇÃO E ATUAÇÃO DE GRÊMIOS ESTUDANTIS NOS ESTABELECIMENTOS PÚBLICOS DE ENSINO FUNDAMENTAL DA REDE MUNICIPAL DE ENSINO DE CAMPINAS.;"Art. 1º  Ficam asseguradas aos estudantes dos estabelecimentos públicos de ensino fundamental da rede municipal de ensino de Campinas a criação, organização e atuação de grêmios estudantis, como entidades representativas de seus interesses, na forma desta Lei e em conformidade com a Lei Estadual nº 15.667, de 12 de janeiro de 2015, e com a Lei Federal nº 7.398, de 4 de novembro de 1985.
Art. 2º  A criação do grêmio estudantil dar-se-á mediante assembleia geral de estudantes, convocada por edital de autoria:
I	- da diretoria de ensino;
II	- do diretor da escola;
III	- dos alunos, através de abaixo-assinado; ouIV - da Associação de Pais e Mestres – APM.
§ 1º  A assembleia referida no caput terá como objeto a discussão e a deliberação dos seguintes assuntos:
CÂMARA MUNICIPAL DE CAMPINAS
Estado de São Paulo www.campinas.sp.leg.br
§ 2º  A assembleia geral será realizada no prazo máximo de trinta dias após a publicação do edital referido no caput deste artigo.
§ 3º  A publicação do edital referido no caput será ampla e irrestrita dentro do ambiente escolar, com divulgação no interior das salas de aula e nas demais dependências de convívio escolar.
Art. 3º  Os estabelecimentos públicos de ensino fundamental da rede municipal de ensino deverão assegurar ao grêmio estudantil:
I	- espaço para sua instalação e realização de suas atividades;
II	- livre alocação e circulação de seus cartazes, panfletos, jornais e publicações;
III	- acesso dos representantes do grêmio a todas as dependências da instituição.
Art. 4º  Os membros da diretoria do grêmio estudantil terão asseguradas a sua permanência e a sua rematrícula desde sua eleição até um ano após o fim de seu mandato.
Art. 5º  As despesas com a execução desta Lei correrão por conta de dotações orçamentárias próprias, suplementadas se necessário.
Art. 6º  Esta Lei entra em vigor na data da sua publicação."
Carlão do PT;PT;sim;DENOMINA PRAÇA PADRE JOSÉ RUBIO CALVO UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Padre José Rubio Calvo a praça de Código Cartográfico 3411.4349.0001 (Quarteirão 6216, Quadra 35) e com área de 720,00m 2 do loteamento Vila Boa Vista, situada entre a Rua das Cerejeiras (Rua 25), a Rua das Acácias (Rua H) e a Rua dos Faveiros (Rua 26), no mesmo loteamento.
Carlão do PT;PT;sim;DENOMINA PRAÇA MARIA SOUZA RUIZ UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1º Fica denominada Praça Maria Souza Ruiz a Praça 04 (Quarteirão 16718, Código Cartográfico 3444.1389.0575, com área de 400,00m?) do loteamento Jardim São Vicente, situada entre a Rua Alcebíades A. Falcão (Rua 15), a Rua José Ghilardi (Rua 16) e a divisa do loteamento. 
Carlão do PT;PT;sim;ALTERA A DENOMINAÇÃO DE VIA PÚBLICA DADA PELO ART. 1º DA LEI Nº 288, DE 30 DE DEZEMBRO DE 1949, DE “RUA LUIZ GAMA” PARA “RUA ADVOGADO LUIZ GAMA”.;"Art. 1 2 Fica alterada a denominação de via pública dada pelo art. 1 2 da Lei n? 288, de 30 de dezembro de 1949, de ""Rua Luiz Gama"" para ""Rua Advogado Luiz Gama"".
Art. 2 2 As despesas decorrentes desta Lei correrão por conta de dotações orçamentárias
 
próprias, suplementadas se necessário."
Carlão do PT;PT;sim;DENOMINA BASE OPERACIONAL II - MARIA CRISTINA VON ZUBEN DE ARRUDA CAMARGO UMA BASE OPERACIONAL DA GUARDA MUNICIPAL DE CAMPINAS.;Art. 1 0 Fica denominada Base Operacional II — Maria Cristina Von Zuben de Arruda Camargo a Base Operacional II da Guarda Municipal de Campinas, localizada na Avenida Dr. Moraes Sales, s/n, Centro, no município de Campinas.
Carlão do PT;PT;não;INSTITUI A SEMANA MUNICIPAL DA INCLUSÃO NAS ESCOLAS DE ENSINO FUNDAMENTAL DE CAMPINAS E DÁ OUTRAS PROVIDÊNCIAS.;"Art. 1 2 Fica instituída a Semana Municipal da Inclusão nas escolas de ensino fundamental do município de Campinas, a ser comemorada juntamente com a Semana Nacional da Pessoa com Deficiência Intelectual e Múltipla, que ocorre no período de 21 a 28 de agosto, como definido pela Lei Federal n? 13.585, de 26 de dezembro de 2017.
Art. 2 2 Caberá a cada escola municipal a promoção de atividades pertinentes, de acordo com a realidade local.
Parágrafo único. As atividades referidas no caput poderão envolver atividades lúdicas relacionadas às atividades pedagógicas diárias, bem como palestras sobre a importância da inclusão e do respeito às pessoas com deficiência.
Art. 3 2 A Prefeitura Municipal, através da Secretaria Municipal dos Direitos da Pessoa com Deficiência e Cidadania, apoiará as iniciativas para a realização das atividades propostas pelas unidades escolares.
Art. 4 2 As despesas decorrentes desta Lei correrão por conta de dotação orçamentária própria."
Carlão do PT;PT;não;INSTITUI A CARTEIRA DE IDENTIFICAÇÃO DO AUTISTA - CIA NO ÂMBITO DO MUNICÍPIO DE CAMPINAS E DÁ OUTRAS PROVIDÊNCIAS.;"Art. I Q Fica instituída a Carteira de Identificação do Autista — CIA no âmbito do município de Campinas.
S 1 2 A CIA é destinada a conferir identificação à pessoa diagnosticada com transtorno do espectro autista — TEA.
S 2 2 A pessoa diagnosticada com TEA é legalmente considerada pessoa com deficiência para todos os efeitos, com direito à assistência social.
Art. 2 2 A CIA será expedida, sem qualquer custo, por órgão municipal a ser definido em decreto regulamentar pelo chefe do Poder Executivo municipal.
Art. 3 Q A CIA será solicitada por meio de requerimento devidamente preenchido e assinado pelo interessado ou por seu representante legal, acompanhado de relatório médico em que o diagnóstico seja confirmado pelo código F84 da Classificação Estatística Internacional de Doenças e Problemas Relacionados à Saúde — CID-IO e dos demais documentos de identificação exigidos pelo órgão municipal competente.
S 1 2 Verificada a regularidade da documentação recebida, o órgão responsável pela expedição da CIA determinará sua emissão no prazo de trinta dias.
S 2 2 A CIA terá validade de cinco anos, devendo ser revalidada com o mesmo número de identificação.
Art. 42 As despesas decorrentes desta Lei correrão por conta de dotação orçamentária própria, suplementada se necessário."
Carlão do PT;PT;sim;DECLARA ÓRGÃO DE UTILIDADE PÚBLICA MUNICIPAL O TERREIRO DE UMBANDA DA VÓ BENEDITA DO CONGO.;Art. 1 2 Fica declarado órgão de utilidade pública municipal o Terreiro de Umbanda da Vó Benedita do Congo.
Carlão do PT;PT;não;DISPÕE SOBRE A SUBSTITUIÇÃO DE COPOS DESCARTÁVEIS POR COPOS FEITOS DE MATERIAIS COMPROVADAMENTE BIODEGRADÁVEIS EM TODOS OS ÓRGÃOS DA ADMINISTRAÇÃO PÚBLICA DO MUNICÍPIO DIRETA OU INDIRETA E NA CÂMARA MUNICIPAL.;"Art. 1 0 Dispõe sobre a substituição de copos descartáveis por copos feitos de material comprovadamente biodegradável em todos os setores dos órgãos da Administração Pública do Município direta ou indireta e na Câmara Municipal.
Parágrafo Único: Os copos descartáveis poderão ser substituídos por outros descartáveis, feitos de materiais comprovadamente biodegradáveis, incluindo os de papel ou os de uso permanente.
Art. 20 —As despesas decorrentes da execução desta Lei correrão por dotação orçamentária próprias, suplementadas se necessário.
Parágrafo Único: O cumprimento do disposto nesta Lei terá prazo 90 dias para ser implementado, mas poderá ser prorrogado se necessário o cumprimento de contrato de aquisição de materiais contraídos por esta Casa Legislativa, como também todos os setores dos órgãos da Administração Pública do Município direta ou indireta, até o final de estoque já adquirido."
Carlão do PT;PT;sim;DENOMINA PRAÇA LIBERATO DE MORAIS UMA PRAÇA PÚBLICA DO MUNICÍPIO DE CAMPINAS.;Art. 1 0 Fica denominada Praça Liberato de Morais a praça sem designação identificada pelo Código Cartográfico 3254.3193.0839 (Quarteirão 6284, Quadra 22) e com área de 800,00m2 do loteamento Vila Presidente Costa e Silva, situada entre a Rua dos Imarés (Rua 34) e a Rua Itatins (Rua 33), no mesmo loteamento.
Carlão do PT;PT;não;DISPÕE SOBRE A OBRIGATORIEDADE DE AFIXAÇÃO DE SINALIZAÇÃO DE PISO TÁTIL NAS DEPENDÊNCIAS DOS ÓRGÃOS PÚBLICOS MUNICIPAIS E PRAÇAS PARA POSSIBILITAR A ACESSIBILIDADE DA PESSOA COM DEFICIÊNCIA VISUAL E DÁ OUTRAS PROVIDÊNCIAS.;A PARTIR DE 05/02/2021 E CONFORME MANIFESTAÇÃO DA PROCURADORIA LEGISLATIVA, ACATADA PELA PRESIDÊNCIA, ESTE PROJETO DE LEI ORDINÁRIA PASSOU A TRAMITAR COMO PROJETO DE LEI COMPLEMENTAR N° 07/2021.
